"id","week1_visit","week2_visit","week3_visit","week4_visit","online_trans","online_spend","year_mo"
8001,0,2,8,1,4,88.4213231007273,"2014_jan"
8001,24,0,57,0,26,521.324727533428,"2014_feb"
8001,0,1,0,14,5,100.141032936598,"2014_mar"
8001,0,0,0,7,3,56.2263100820468,"2014_apr"
8001,2,172,18,1,68,1466.80798116761,"2014_may"
8001,0,51,0,37,26,490.950106155335,"2014_jun"
8001,3,0,54,8,18,315.747211347204,"2014_jul"
8001,5,4,2,5,5,96.7660138098098,"2014_aug"
8001,0,13,0,6,6,114.361238731218,"2014_sep"
8001,37,2,0,14,12,233.177531002044,"2014_oct"
8001,26,0,10,6,14,270.39595768801,"2014_nov"
8001,1,3,1,4,2,35.6965107963453,"2014_dec"
8001,2,1,0,20,5,88.3835059948277,"2015_jan"
8001,29,0,14,0,12,193.515623308732,"2015_feb"
8001,15,0,2,12,8,156.184353925189,"2015_mar"
8001,0,0,0,1,0,0,"2015_apr"
8001,0,4,4,0,3,55.3407536516856,"2015_may"
8001,50,7,2,0,20,388.346270615093,"2015_jun"
8001,39,6,0,0,12,245.595861032362,"2015_jul"
8001,3,91,4,35,39,855.226051861246,"2015_aug"
8001,28,32,0,0,20,461.87915042298,"2015_sep"
8001,8,72,66,0,30,689.440154945932,"2015_oct"
8001,0,1,0,9,4,65.4447764373381,"2015_nov"
8001,9,157,0,19,52,1089.52842616527,"2015_dec"
8002,111,0,8,0,33,583.614902457428,"2014_jan"
8002,15,6,0,241,72,1452.50671715333,"2014_feb"
8002,0,0,1,2,0,0,"2014_mar"
8002,0,0,322,208,148,2925.87311578791,"2014_apr"
8002,9,0,182,51,69,1479.3638771918,"2014_may"
8002,0,3,2,12,3,68.1734692484901,"2014_jun"
8002,3,0,60,5,29,603.284289378523,"2014_jul"
8002,2,69,19,0,18,351.793118134368,"2014_aug"
8002,45,10,0,33,18,399.768532208556,"2014_sep"
8002,0,2,0,53,14,271.579935337881,"2014_oct"
8002,22,131,0,47,64,1310.09591888427,"2014_nov"
8002,3,118,10,2,34,744.595138286497,"2014_dec"
8002,0,73,0,1,21,425.915873473469,"2015_jan"
8002,138,0,23,0,49,977.328674063197,"2015_feb"
8002,21,29,184,141,112,2419.71836359813,"2015_mar"
8002,62,1,0,51,40,793.589569484164,"2015_apr"
8002,22,97,7,62,52,1030.85923445603,"2015_may"
8002,95,6,21,0,36,641.320820565305,"2015_jun"
8002,1,0,4,1,2,33.1777022855393,"2015_jul"
8002,5,7,22,0,8,156.252732179407,"2015_aug"
8002,0,127,71,2,51,962.208031722808,"2015_sep"
8002,1,72,41,13,40,857.084852086514,"2015_oct"
8002,92,1,0,6,34,644.824910267402,"2015_nov"
8002,35,4,0,28,21,368.60623976976,"2015_dec"
8003,18,3,10,25,17,362.926831237553,"2014_jan"
8003,27,0,8,2,14,263.694387717956,"2014_feb"
8003,0,28,0,0,8,165.576938113752,"2014_mar"
8003,8,4,15,163,51,993.643548088425,"2014_apr"
8003,0,0,15,3,5,111.240539618754,"2014_may"
8003,52,37,1,70,52,1001.93236795467,"2014_jun"
8003,0,7,2,33,8,167.924922116423,"2014_jul"
8003,2,1,6,61,21,393.859387691258,"2014_aug"
8003,1,65,0,0,20,376.307769199639,"2014_sep"
8003,14,0,1,26,11,179.941997561045,"2014_oct"
8003,0,81,8,0,28,614.693721369063,"2014_nov"
8003,1,19,0,4,6,125.13616561329,"2014_dec"
8003,3,0,3,35,14,239.577775320591,"2015_jan"
8003,1,76,1,8,28,585.840599841373,"2015_feb"
8003,250,3,23,4,83,1610.79427933604,"2015_mar"
8003,1,2,57,50,29,474.159001094342,"2015_apr"
8003,133,0,20,58,63,1271.17947588185,"2015_may"
8003,75,0,0,39,36,756.310741229645,"2015_jun"
8003,27,13,0,1,11,239.853558420499,"2015_jul"
8003,0,89,19,11,40,789.414751883759,"2015_aug"
8003,11,3,0,18,12,209.954639206098,"2015_sep"
8003,14,61,5,1,27,422.913390526905,"2015_oct"
8003,0,1,37,0,13,282.407618478366,"2015_nov"
8003,26,10,19,0,13,274.120931940702,"2015_dec"
8004,1,88,11,0,26,499.963704093759,"2014_jan"
8004,23,15,1,1,13,299.985552717204,"2014_feb"
8004,21,66,0,1,25,533.804310559856,"2014_mar"
8004,112,17,25,63,66,1329.25804567437,"2014_apr"
8004,0,0,7,2,1,18.6200462228249,"2014_may"
8004,79,16,0,0,27,598.426770585469,"2014_jun"
8004,2,19,41,0,19,375.577547688836,"2014_jul"
8004,0,24,294,3,97,1888.42239190175,"2014_aug"
8004,0,14,136,4,47,1007.43869457714,"2014_sep"
8004,15,0,0,10,9,211.828121694017,"2014_oct"
8004,69,0,4,8,21,416.729263829703,"2014_nov"
8004,0,2,17,5,3,68.1860488313289,"2014_dec"
8004,17,5,0,78,25,535.124546661348,"2015_jan"
8004,3,0,46,1,13,292.61342219263,"2015_feb"
8004,15,16,0,21,16,304.204443729727,"2015_mar"
8004,57,3,15,33,34,692.917004306323,"2015_apr"
8004,6,79,0,39,40,834.549038526314,"2015_may"
8004,5,13,7,2,9,171.585333078799,"2015_jun"
8004,12,2,20,0,14,222.947564750759,"2015_jul"
8004,0,3,11,0,4,84.5652141874925,"2015_aug"
8004,0,15,1,69,24,547.241027739696,"2015_sep"
8004,2,5,192,33,63,1105.75288507123,"2015_oct"
8004,8,14,0,105,41,672.105326159046,"2015_nov"
8004,0,66,0,85,46,852.952883345353,"2015_dec"
8005,21,0,84,7,27,596.398320810539,"2014_jan"
8005,1,37,31,11,23,419.553333832566,"2014_feb"
8005,1,15,0,4,4,80.9805126346795,"2014_mar"
8005,20,11,23,0,16,337.599899895271,"2014_apr"
8005,44,116,130,12,90,1958.46109323393,"2014_may"
8005,16,0,7,0,6,117.24031251438,"2014_jun"
8005,9,36,11,0,18,382.589213856212,"2014_jul"
8005,7,28,3,0,8,159.220253605965,"2014_aug"
8005,96,0,0,24,42,699.310230916782,"2014_sep"
8005,0,65,0,74,41,723.999212574804,"2014_oct"
8005,4,1,13,34,22,401.378852427279,"2014_nov"
8005,75,0,111,48,61,1339.47289319934,"2014_dec"
8005,11,18,8,31,18,403.953234126816,"2015_jan"
8005,20,10,0,2,10,221.983211516571,"2015_feb"
8005,58,0,35,0,36,958.14745845842,"2015_mar"
8005,1,0,1,0,1,22.4529486670825,"2015_apr"
8005,23,2,13,0,11,227.433163537183,"2015_may"
8005,23,0,19,9,20,444.666145721561,"2015_jun"
8005,37,63,11,33,39,676.073004753743,"2015_jul"
8005,9,40,70,52,40,852.331916752432,"2015_aug"
8005,0,0,53,0,13,208.075895958796,"2015_sep"
8005,5,94,33,0,32,654.79942183481,"2015_oct"
